Date,ZHVI_2bedroom_Nevada,ZHVI_3bedroom_Nevada,ZHVI_3bedroom_DistrictofColumbia,ZHVI_2bedroom_Colorado,ZHVI_1bedroom_California,ZHVI_1bedroom_Florida,ZHVI_1bedroom_Colorado,ZHVI_2bedroom_California,ZHVI_4bedroom_Nevada,ZHVI_3bedroom_Colorado
2010-02-28,-0.015463917525773141,-0.007112375533428139,0.010410469958358037,0.009987515605493158,0.0036446469248292424,-0.008462623413258097,0.0072727272727273196,0.008852821836960567,-0.005216484089723528,0.00849457291175093
2010-03-31,-0.0020942408376963817,-0.005014326647564515,-0.0017662643508978837,-0.0024721878862793423,-0.012709940989559687,-0.024182076813655806,-0.006498194945848357,-0.001828153564899404,-0.0015731515469323831,-0.002807674309780017
2010-04-30,-0.009443861490031513,-0.005759539236861011,0.010616337363609452,-0.0012391573729864103,-0.006436781609195363,-0.01603498542274051,-0.0029069767441860517,-0.000366300366300365,-0.007352941176470562,-0.001407789770060952
2010-05-31,-0.014830508474576232,-0.007965242577842147,0.011380215932302207,-0.002481389578163795,-0.00509023600185099,-0.014814814814814836,-0.005102040816326481,-0.0032979113228288615,-0.006878306878306928,-0.0023496240601503793
2010-06-30,-0.008602150537634357,-0.008759124087591275,0.0037507212925562694,-0.003731343283582045,-0.006976744186046546,-0.016541353383458635,-0.00952380952380949,-0.004411764705882337,-0.004794885455514097,-0.004239284032030111
2010-07-31,-0.004338394793926281,-0.007363770250368162,0.0005748778384593312,-0.004993757802746579,-0.00983606557377048,-0.019877675840978548,-0.007396449704141994,-0.004431314623338234,-0.006959314775160652,-0.0037842951750236553
2010-08-31,-0.009803921568627416,-0.005934718100890191,-0.0014363688595231405,-0.0037641154328732496,-0.009460737937559083,-0.021840873634945357,-0.0029806259314456574,-0.004821958456973308,-0.009703504043126698,-0.003323836657169954
2010-09-30,-0.01650165016501648,-0.008208955223880543,-0.0011507479861909697,-0.0025188916876573986,-0.009073543457497557,-0.019138755980861233,-0.0022421524663677195,-0.006336190831159105,-0.008165487207403399,-0.00285850404954735
2010-10-31,-0.014541387024608499,-0.008276899924755443,0.0002880184331797153,-0.004419191919191934,-0.00867469879518068,-0.01788617886178867,-0.0037453183520599342,-0.006001500375093727,-0.008232711306256912,-0.0023889154323937234
2010-11-30,-0.007945516458569779,-0.00531107738998482,0.007486323063633726,-0.0038046924540265925,-0.005347593582887722,-0.008278145695364225,-0.003007518796992459,-0.004150943396226459,-0.006087437742113955,-0.002394636015325635
2010-12-31,-0.008009153318077833,-0.005339435545385185,0.0011431837667905675,-0.005728835136855515,-0.004887585532746819,-0.013355592654423987,-0.0015082956259426794,-0.0064418340280408826,-0.0050111358574610465,-0.004800768122899646
2011-01-31,-0.011534025374855816,-0.009969325153374231,-0.010276905509563283,-0.006402048655569814,-0.007858546168958758,-0.016920473773265665,-0.0060422960725075026,-0.009534706331045029,-0.007274762171236682,-0.005788712011577379
2011-02-28,-0.014002333722287097,-0.013168086754453912,-0.011825785982117143,-0.0038659793814432852,-0.00990099009900991,-0.015490533562822706,-0.006079027355623046,-0.009626492106276419,-0.014092446448703444,-0.0038816108685104656
2011-03-31,-0.017751479289940808,-0.013343799058084804,0.0002918855808522469,-0.001293661060802087,-0.010499999999999954,-0.005244755244755206,-0.003058103975535187,-0.007776049766718529,-0.01658090337335616,-0.00097418412079886
2011-04-30,-0.01807228915662651,-0.01352426412092278,0.0017508024511234677,-0.0012953367875647714,-0.011622031328954008,-0.0035149384885764245,0.0,-0.007053291536050166,-0.012209302325581373,-0.0014627011214042307
2011-05-31,-0.01717791411042946,-0.012096774193548376,-0.0014564520827264893,-0.0038910505836575737,-0.01278118609406953,-0.005291005291005346,-0.0015337423312883347,-0.006708760852407236,-0.011183048852266064,-0.00146484375
2011-06-30,-0.01872659176029967,-0.01224489795918371,-0.006709451575262593,-0.00455729166666663,-0.013982392542723932,-0.00886524822695034,-0.004608294930875556,-0.005959475566150174,-0.014285714285714235,-0.0029339853300733854
2011-07-31,-0.01781170483460559,-0.013223140495867813,-0.005286343612334821,-0.005886200130804431,-0.012605042016806678,-0.00536672629695889,-0.00694444444444442,-0.007993605115907298,-0.011473429951690872,-0.0024521824423736627
